codigo_sgif,observ,codigo_rc,distrito,concelho,freguesia,area_arborizada,area_nao_arborizada,dia_semana,reacendimento,causa,data_inicio,hora_inicio,primeira_intervencao,data_fim,hora_fim
TM00405,,RC11700001,VILA REAL,ALIJÓ,PEGARINHOS,0.03,0.02,1,S,REA,1995-04-16,22:03:00,,1995-04-17 00:40:00,00:40:00
TM00339,,RC11700006,VILA REAL,VILA REAL,TORGUEDA,0,0.02,4,S,REA,1995-04-12,09:15:00,,1995-04-12 10:20:00,10:20:00
TM00391,,RC11700006,VILA REAL,VILA REAL,CAMPEÃ,0,0.02,7,S,REA,1995-04-15,01:15:00,,1995-04-15 02:05:00,02:05:00
TM02227,,RC11700001,VILA REAL,ALIJÓ,ALIJÓ,0,0.02,4,S,REA,1995-08-16,13:26:00,,1995-08-16 15:00:00,15:00:00
TM02292,,RC11700009,VISEU,MOIMENTA DA BEIRA,ALVITE,0,0.02,1,S,REA,1995-08-20,09:57:00,,1995-08-20 11:30:00,11:30:00
TM02882,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,FONTES,0,0.02,7,S,REA,1995-09-02,20:50:00,,1995-09-02 21:25:00,21:25:00
TM00235,,RC11700006,VILA REAL,VILA REAL,TORGUEDA,0,0.03,2,S,REA,1995-04-03,17:46:00,,1995-04-03 18:55:00,18:55:00
TM01337,,RC11700008,VISEU,LAMEGO,AVÕES,0,0.03,3,S,REA,1995-08-01,17:37:00,,1995-08-01 18:50:00,18:50:00
TM01398,,RC11700007,VISEU,ARMAMAR,ALDEIAS,0,0.03,4,S,REA,1995-08-02,00:31:00,,1995-08-02 01:20:00,01:20:00
TM02722,,RC11700007,VISEU,ARMAMAR,TÕES,0,0.03,6,S,REA,1995-09-01,06:00:00,,1995-09-01 09:19:00,09:19:00
TM02762,,RC11700007,VISEU,ARMAMAR,QUEIMADELA,0,0.03,7,S,REA,1995-09-02,15:14:00,,1995-09-02 16:28:00,16:28:00
TM03200,,RC11700001,VILA REAL,ALIJÓ,PEGARINHOS,0,0.03,2,S,REA,1995-08-28,14:02:00,,1995-08-29 03:07:00,03:07:00
TM00671,,RC11700001,VILA REAL,ALIJÓ,PEGARINHOS,0,0.04,1,S,REA,1995-06-11,23:00:00,,1995-06-12 01:10:00,01:10:00
TM00705,,RC11800004,VILA REAL,VALPAÇOS,VALPAÇOS,0,0.04,1,S,REA,1995-06-18,19:20:00,,1995-06-18 20:20:00,20:20:00
TM02080,,RC11700008,VISEU,LAMEGO,MAGUEIJA,0,0.04,1,S,REA,1995-08-20,15:15:00,,1995-08-20 16:30:00,16:30:00
TM00214,,RC11700006,VILA REAL,VILA REAL,TORGUEDA,0,0.05,1,S,REA,1995-04-02,15:15:00,,1995-04-02 16:30:00,16:30:00
TM00264,,RC11700001,VILA REAL,ALIJÓ,AMIEIRO,0,0.05,5,S,REA,1995-04-06,21:20:00,,1995-04-06 23:15:00,23:15:00
TM00689,,RC11700004,VILA REAL,SABROSA,SÃO MARTINHO DE ANTAS,0,0.05,2,S,REA,1995-06-12,17:14:00,,1995-06-12 17:55:00,17:55:00
TM01167,,RC11700011,VISEU,SÃO JOÃO DA PESQUEIRA,PEREIROS,0,0.05,3,S,REA,1995-07-25,15:45:00,,1995-07-25 23:00:00,23:00:00
TM02593,,RC11700014,VISEU,TAROUCA,VILA CHÃ DA BEIRA,0,0.05,7,S,REA,1995-08-26,14:24:00,,1995-08-26 16:45:00,16:45:00
TM02767,,RC11700007,VISEU,ARMAMAR,QUEIMADELA,0,0.05,7,S,REA,1995-09-02,23:00:00,,1995-09-02 23:40:00,23:40:00
TM01398,,RC11700007,VISEU,ARMAMAR,ALDEIAS,0,0.07,3,S,REA,1995-08-01,08:50:00,,1995-08-01 10:15:00,10:15:00
TM02120,,RC11700014,VISEU,TAROUCA,VARZEA DA SERRA,0,0.07,4,S,REA,1995-08-16,23:04:00,,1995-08-17 01:04:00,01:04:00
TM00371,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,SEVER,0,0.1,6,S,REA,1995-04-14,21:50:00,,1995-04-14 23:00:00,23:00:00
TM00668,,RC11700006,VILA REAL,VILA REAL,VALNOGUEIRAS,0,0.1,1,S,REA,1995-06-11,19:30:00,,1995-06-11 21:10:00,21:10:00
TM00746,,RC11700004,VILA REAL,SABROSA,SÃO LOURENÇO DE RIBAPINHÃO,0,0.1,6,S,REA,1995-06-16,11:15:00,,1995-06-16 12:10:00,12:10:00
TM00746,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.1,6,S,REA,1995-06-16,13:55:00,,1995-06-16 15:45:00,15:45:00
TM00746,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.1,6,S,REA,1995-06-16,18:07:00,,1995-06-16 19:35:00,19:35:00
TM02675,,RC11700006,VILA REAL,VILA REAL,ABAÇAS,0,0.1,5,S,REA,1995-08-24,01:55:00,,1995-08-24 04:30:00,04:30:00
TM03123,,RC11700006,VILA REAL,VILA REAL,ANDRÃES,0,0.1,1,S,REA,1995-08-27,08:10:00,,1995-08-27 10:30:00,10:30:00
TM04296,,RC11700001,VILA REAL,ALIJÓ,SANFINS DO DOURO,0,0.1,2,S,REA,1995-10-23,21:15:00,,1995-10-23 22:05:00,22:05:00
TM02070,,RC11700008,VISEU,LAMEGO,BIGORNE,0,0.15,5,S,REA,1995-08-17,02:01:00,,1995-08-17 02:35:00,02:35:00
TM01735,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,5,0.2,7,S,REA,1995-08-12,22:50:00,,1995-08-12 23:55:00,23:55:00
TM00746,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.2,7,S,REA,1995-06-17,00:35:00,,1995-06-17 01:40:00,01:40:00
TM04081,,RC11700001,VILA REAL,ALIJÓ,PÓPULO,0,0.2,4,S,REA,1995-10-18,09:40:00,,1995-10-18 10:55:00,10:55:00
TM02480,,RC11700018,BRAGANÇA,C.ANSIÃES,BEIRA GRANDE,0.25,0.25,3,S,REA,1995-08-29,01:45:00,,1995-08-29 05:00:00,05:00:00
TM01379,,RC11700008,VISEU,LAMEGO,VALDIGEM,0,0.3,7,S,REA,1995-07-29,14:16:00,,1995-07-29 17:00:00,17:00:00
TM01744,,RC11800002,VILA REAL,CHAVES,SOUTELO,0,0.3,4,S,REA,1995-08-16,17:25:00,,1995-08-16 19:30:00,19:30:00
TM04081,,RC11700001,VILA REAL,ALIJÓ,PÓPULO,0,0.3,2,S,REA,1995-10-16,16:20:00,,1995-10-16 20:50:00,20:50:00
TM00371,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,SEVER,0,0.4,6,S,REA,1995-04-14,14:25:00,,1995-04-14 16:10:00,16:10:00
TM02120,,RC11700014,VISEU,TAROUCA,VARZEA DA SERRA,0,0.4,6,S,REA,1995-08-18,16:45:00,,1995-08-18 18:15:00,18:15:00
TM01713,,RC11700008,VISEU,LAMEGO,PENUDE,0.35,0.5,5,S,REA,1995-08-10,20:45:00,,1995-08-10 22:15:00,22:15:00
TM01036,,RC11700019,BRAGANÇA,VILA FLOR,VAL DE TORNO,0.5,0.5,4,S,REA,1995-07-19,20:40:00,,1995-07-19 23:00:00,23:00:00
TM02675,,RC11700006,VILA REAL,VILA REAL,ABAÇAS,0.5,0.5,6,S,REA,1995-08-25,13:45:00,,1995-08-25 16:50:00,16:50:00
TM00848,,RC11700012,VISEU,SERNANCELHE,PENSO,2,0.5,1,S,REA,1995-06-04,11:00:00,,1995-06-04 19:35:00,19:35:00
TM00194,,RC11700001,VILA REAL,ALIJÓ,PEGARINHOS,0,0.5,1,S,REA,1995-04-02,11:15:00,,1995-04-02 14:00:00,14:00:00
TM00257,,RC11700006,VILA REAL,VILA REAL,TORGUEDA,0,0.5,4,S,REA,1995-04-05,07:15:00,,1995-04-05 11:15:00,11:15:00
TM00650,,RC11700019,BRAGANÇA,VILA FLOR,SAMPAIO,0,0.5,6,S,REA,1995-06-09,22:10:00,,1995-06-10 00:05:00,00:05:00
TM00882,,RC11700007,VISEU,ARMAMAR,QUEIMADELA,0,0.5,5,S,REA,1995-06-22,14:20:00,,1995-06-22 16:50:00,16:50:00
TM00951,,RC11700008,VISEU,LAMEGO,FIGUEIRA,0,0.5,5,S,REA,1995-07-06,12:48:00,,1995-07-06 14:15:00,14:15:00
TM00951,,RC11700008,VISEU,LAMEGO,FIGUEIRA,0,0.5,5,S,REA,1995-07-06,19:11:00,,1995-07-06 21:00:00,21:00:00
TM01420,,RC11700001,VILA REAL,ALIJÓ,SANFINS DO DOURO,0,0.5,7,S,REA,1995-07-29,17:30:00,,1995-07-29 18:50:00,18:50:00
TM01475,,RC11800012,BRAGANÇA,MIRANDELA,TORRE DONA CHAMA,0,0.5,1,S,REA,1995-08-13,01:10:00,,1995-08-13 03:20:00,03:20:00
