REGISTO,OBSER,CONCELHO,FREGUESIA,DATAINICIO,HORAINI,MINUTINI,DATAFIM,HORAFIM,MINUFIM,CAUSA,A_ARBORIZA,A_N_ARBORI,TOTAL
AG0198,,MONCHIQUE,ALFERCE,1993/07/26,16,13,1993/07/27,1,45,NEG,2,46,48
AG0198,,MONCHIQUE,ALFERCE,1993/07/27,5,25,1993/07/27,10,30,NEG,1.5,0,1.5
AG0199,,MONCHIQUE,ALFERCE,1993/07/23,19,30,1993/07/24,2,50,NEG,7.5,1,8.5
AG0199,,MONCHIQUE,ALFERCE,1993/07/24,6,15,1993/07/24,16,45,NEG,1.5,0,1.5
AG0200,,ALJEZUR,ALJEZUR,1993/07/23,11,25,1993/07/24,21,45,NEG,23,1125.97,1148.97
AG0201,,V.BISPO,V.BISPO,1993/07/23,13,10,1993/07/28,19,0,NEG,119.625,237.041,356.666
AG0202,,ALJEZUR,ALJEZUR,1993/07/23,13,55,1993/07/24,21,45,NEG,760,1994.01,2754.01
AG0203,,SILVES,SILVES,1993/07/25,0,14,1993/07/25,1,30,DES,0,0.02,0.02
AG0204,,ALJEZUR,ALJEZUR,1993/07/25,15,7,1993/07/25,18,40,DES,0,0.001,0.001
AG0205,,TAVIRA,S.C.F.BISPO,1993/07/25,16,27,1993/07/25,18,25,DES,0,0.1,0.1
AG0206,,LAGOA,PORCHES,1993/07/25,19,12,1993/07/25,19,55,DES,0,0.001,0.001
AG0207,,TAVIRA,S.LUZIA,1993/07/25,15,55,1993/07/25,16,30,DES,0,0.03,0.03
AG0208,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/25,22,33,1993/07/25,23,55,DES,0,0.004,0.004
AG0209,,OLHAO,MONCARAPACHO,1993/07/25,16,35,1993/07/25,17,18,DES,0,0.001,0.001
AG0210,,LOULE,ALMANSIL,1993/07/26,15,35,1993/07/26,18,45,DES,0.01,0.02,0.03
AG0211,,LOULE,S.SEBASTIAO,1993/07/26,17,15,1993/07/26,18,52,DES,0.02,0.03,0.05
AG0212,,LOULE,AMEIXIAL,1993/07/26,16,12,1993/07/26,19,22,DES,0,3,3
